"id","title","author","field","isbn","publisher","publication_year","isavailable"
7492,Statics and Mechanics of Materials,R.C. Hibbeler,Engineering,"9780133451603",Pearson,"2014",true
7446,Advanced Engineering Mathematics,Erwin Kreyszig,Engineering,"9781119457692",Wiley,"2018",true
4224,Fundamentals of Physics,"Halliday, Resnick, Walker",Engineering,"9781119460234",Wiley,"2018",true
1757,Thermodynamics: An Engineering Approach,"Yunus A. Cengel, Michael A. Boles",Engineering,"9781259250005",McGraw-Hill Education,"2019",true
8640,Fluid Mechanics,Frank M. White,Engineering,"9780073380325",McGraw-Hill Education,"2016",true
8651,Materials Science and Engineering: An Introduction,"William D. Callister Jr., David G. Rethwisch",Engineering,"9781119405626",Wiley,"2018",true
4677,Applied Numerical Methods with MATLAB for Engineers and Scientists,Steven C. Chapra,Engineering,"9780073401105",McGraw-Hill Education,"2018",true
6134,Probability & Statistics for Engineers & Scientists,"Ronald E. Walpole, Raymond H. Myers, Sharon L. Myers, Keying Ye",Engineering,"9780134115856",Pearson,"2016",true
1160,Engineering Economy,"William G. Sullivan, Elin M. Wicks, C. Patrick Koelling",Engineering,"9780133439274",Pearson,"2014",true
8157,Structural Analysis,Russell C. Hibbeler,Engineering,"9780134449556",Pearson,"2018",true
1111,Design of Concrete Structures,"Arthur H. Nilson, David Darwin, Charles W. Dolan",Engineering,"9780073401099",McGraw-Hill Education,"2012",true
9947,Steel Structures: Design and Behavior,"Charles G. Salmon, John E. Johnson, Faris A. Malhas",Engineering,"9780132338902",Pearson,"2009",true
6251,Principles of Geotechnical Engineering,"Braja M. Das, Khaled Sobhan",Engineering,"9781305635838",Cengage Learning,"2018",true
9078,Hydraulics in Civil and Environmental Engineering,"Andrew Chadwick, John Morfett, Martin Borthwick",Engineering,"9781138031548",CRC Press,"2017",true
9351,Water Resources Engineering,Larry W. Mays,Engineering,"9781118944849",Wiley,"2016",true
9651,Transportation Engineering and Planning,"C.S. Papacostas, P.D. Prevedouros",Engineering,"9780136157779",Pearson,"2009",true
8493,Environmental Engineering: Principles and Practice,"Mackenzie L. Davis, David A. Cornwell",Engineering,"9780073401129",McGraw-Hill Education,"2013",true
6432,Construction Project Management,"Frederick E. Gould, Nancy E. Joyce",Engineering,"9780134426540",Pearson,"2017",true
8937,Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Engineering,"9781260113821",McGraw-Hill Education,"2020",true
3237,Fundamentals of Machine Component Design,"Robert C. Juvinall, Kurt M. Marshek",Engineering,"9781118073612",Wiley,"2011",true
5580,Manufacturing Engineering and Technology,"Serope Kalpakjian, Steven R. Schmid",Engineering,"9780134030610",Pearson,"2014",true
9191,Mechanics of Materials,R.C. Hibbeler,Engineering,"9780134319651",Pearson,"2017",true
2078,Control Systems Engineering,Norman S. Nise,Engineering,"9781119474224",Wiley,"2019",true
5531,Internal Combustion Engine Fundamentals,John Heywood,Engineering,"9780070286375",McGraw-Hill,"1988",true
7128,Electric Circuits,"James W. Nilsson, Susan A. Riedel",Engineering,"9780134746961",Pearson,"2020",true
2173,Fundamentals of Electric Circuits,"Charles K. Alexander, Matthew N.O. Sadiku",Engineering,"9780073529557",McGraw-Hill Education,"2017",true
9229,Electronic Devices and Circuit Theory,"Robert L. Boylestad, Louis Nashelsky",Engineering,"9780133769171",Pearson,"2013",true
4322,Digital Design,"M. Morris Mano, Michael D. Ciletti",Engineering,"9780134549898",Pearson,"2017",true
8397,Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky, S. Hamid Nawab",Engineering,"9780138147570",Pearson,"1997",true
3715,Principles of Electromagnetics,Matthew N.O. Sadiku,Engineering,"9780199745330",Oxford University Press,"2015",true
3095,Power System Analysis and Design,"J. Duncan Glover, Mulukutla S. Sarma, Thomas J. Overbye",Engineering,"9781305635210",Cengage Learning,"2017",true
9375,Feedback Control Systems,"John J. D'Azzo, Constantine H. Houpis, Stuart N. Sheldon",Engineering,"9780073380387",McGraw-Hill Education,"2011",true
3343,Chemical Process Principles Part I: Material and Energy Balances,"Olaf A. Hougen, Kenneth M. Watson, Roland O. Ragatz",Engineering,"9780471017842",Wiley,"1954",true
2918,Transport Phenomena,"R. Byron Bird, Warren E. Stewart, Edwin N. Lightfoot",Engineering,"9780470115398",Wiley,"2007",true
5592,Unit Operations of Chemical Engineering,"Warren L. McCabe, Julian C. Smith, Peter Harriott",Engineering,"9780073380905",McGraw-Hill Education,"2005",true
7163,Chemical Reaction Engineering,Octave Levenspiel,Engineering,"9780471254247",Wiley,"1999",true
